#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Iroh says : " Zuko was right , you see , but it was not his place to speak out . 
1-1	0-4	Iroh	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Zuko	*	PER	*->1-1	*[1]
1-6	19-22	was	_	_	_	_
1-7	23-28	right	_	_	_	_
1-8	29-30	,	_	_	_	_
1-9	31-34	you	_	_	_	_
1-10	35-38	see	_	_	_	_
1-11	39-40	,	_	_	_	_
1-12	41-44	but	_	_	_	_
1-13	45-47	it	_	_	_	_
1-14	48-51	was	_	_	_	_
1-15	52-55	not	_	_	_	_
1-16	56-59	his	_	_	*->1-2	*[1]
1-17	60-65	place	_	_	_	_
1-18	66-68	to	_	_	_	_
1-19	69-74	speak	_	_	_	_
1-20	75-78	out	_	_	_	_
1-21	79-80	.	_	_	_	_

#Text=And there were dire consequences . 
2-1	81-84	And	_	_	_	_
2-2	85-90	there	_	_	_	_
2-3	91-95	were	_	_	_	_
2-4	96-100	dire	_	_	_	_
2-5	101-113	consequences	_	_	_	_
2-6	114-115	.	_	_	_	_

#Text=" 
3-1	116-117	"	_	_	_	_
