#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Sozin says : " Roku 's island was a hundred miles away . 
1-1	0-5	Sozin	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-19	Roku	_	_	*->2-1	*[2]
1-6	20-22	's	_	_	*->2-1	*[2]
1-7	23-29	island	_	_	*->2-1	*[2]
1-8	30-33	was	_	_	_	_
1-9	34-35	a	_	_	_	_
1-10	36-43	hundred	_	_	_	_
1-11	44-49	miles	_	_	_	_
1-12	50-54	away	_	_	_	_
1-13	55-56	.	_	_	_	_

#Text=But I could still feel it rumbling and see the black plume of smoke . 
2-1	57-60	But	_	_	_	_
2-2	61-62	I	_	_	*->1-2	*[1]
2-3	63-68	could	_	_	_	_
2-4	69-74	still	_	_	_	_
2-5	75-79	feel	_	_	_	_
2-6	80-82	it	_	_	*->2-2	*[2]
2-7	83-91	rumbling	_	_	_	_
2-8	92-95	and	_	_	_	_
2-9	96-99	see	_	_	_	_
2-10	100-103	the	_	_	_	_
2-11	104-109	black	_	_	_	_
2-12	110-115	plume	_	_	_	_
2-13	116-118	of	_	_	_	_
2-14	119-124	smoke	_	_	_	_
2-15	125-126	.	_	_	_	_

#Text=I had never seen anything like this catastrophe . 
3-1	127-128	I	_	_	*->1-3	*[1]
3-2	129-132	had	_	_	_	_
3-3	133-138	never	_	_	_	_
3-4	139-143	seen	_	_	_	_
3-5	144-152	anything	_	_	_	_
3-6	153-157	like	_	_	_	_
3-7	158-162	this	_	_	_	_
3-8	163-174	catastrophe	_	_	_	_
3-9	175-176	.	_	_	_	_

#Text=" 
4-1	177-178	"	_	_	_	_
