#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Iroh says : " Hmm ... My grandfather would respect the Avatar 's instinct . 
1-1	0-4	Iroh	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-17	Hmm	_	_	_	_
1-6	18-21	...	_	_	_	_
1-7	22-24	My	_	_	*->1-2	*[1]
1-8	25-36	grandfather	_	_	_	_
1-9	37-42	would	_	_	_	_
1-10	43-50	respect	_	_	_	_
1-11	51-54	the	_	_	_	_
1-12	55-61	Avatar	_	_	_	_
1-13	62-64	's	_	_	_	_
1-14	65-73	instinct	_	_	_	_
1-15	74-75	.	_	_	_	_

#Text=So will I. " 
2-1	76-78	So	_	_	_	_
2-2	79-83	will	_	_	_	_
2-3	84-86	I.	_	_	_	_
2-4	87-88	"	_	_	_	_
