#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Kuruk says : " Bet you girls have never seen a lotus tornado before ! " 
1-1	0-5	Kuruk	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-18	Bet	_	_	_	_
1-6	19-22	you	_	_	_	_
1-7	23-28	girls	_	_	_	_
1-8	29-33	have	_	_	_	_
1-9	34-39	never	_	_	_	_
1-10	40-44	seen	_	_	_	_
1-11	45-46	a	_	_	*->2-1	*[2]
1-12	47-52	lotus	_	_	*->2-1	*[2]
1-13	53-60	tornado	_	_	*->2-1	*[2]
1-14	61-67	before	_	_	_	_
1-15	68-69	!	_	_	_	_
1-16	70-71	"	_	_	_	_

#Text=Airbender girl # 1 says : " It 's beautiful ! " 
2-1	72-81	Airbender	_	_	*->3-1	*[3]
2-2	82-86	girl	_	_	*->3-1	*[3]
2-3	87-88	#	_	_	_	_
2-4	89-90	1	_	_	_	_
2-5	91-95	says	_	_	_	_
2-6	96-97	:	_	_	_	_
2-7	98-99	"	_	_	_	_
2-8	100-102	It	_	_	*->2-2	*[2]
2-9	103-105	's	_	_	_	_
2-10	106-115	beautiful	_	_	_	_
2-11	116-117	!	_	_	_	_
2-12	118-119	"	_	_	_	_

#Text=Airbender girl # 2 says : " I love you , Avatar Kuruk ! " 
3-1	120-129	Airbender	_	_	_	_
3-2	130-134	girl	_	_	_	_
3-3	135-136	#	_	_	_	_
3-4	137-138	2	_	_	_	_
3-5	139-143	says	_	_	_	_
3-6	144-145	:	_	_	_	_
3-7	146-147	"	_	_	_	_
3-8	148-149	I	_	_	*->3-2	*[3]
3-9	150-154	love	_	_	_	_
3-10	155-158	you	_	_	_	_
3-11	159-160	,	_	_	_	_
3-12	161-167	Avatar	_	_	*->1-2	*[1]
3-13	168-173	Kuruk	_	_	*->1-2	*[1]
3-14	174-175	!	_	_	_	_
3-15	176-177	"	_	_	_	_
