#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Mechanist says : " What are you doing ? 
1-1	0-9	Mechanist	*	PER	_	_
1-2	10-14	says	_	_	_	_
1-3	15-16	:	_	_	_	_
1-4	17-18	"	_	_	_	_
1-5	19-23	What	_	_	_	_
1-6	24-27	are	_	_	_	_
1-7	28-31	you	_	_	_	_
1-8	32-37	doing	_	_	_	_
1-9	38-39	?	_	_	_	_

#Text=That 's our fuel source . 
2-1	40-44	That	_	_	*->1-2	*[1]
2-2	45-47	's	_	_	_	_
2-3	48-51	our	_	_	*->1-1	*[1]
2-4	52-56	fuel	_	_	*->1-1	*[1]
2-5	57-63	source	_	_	*->1-1	*[1]
2-6	64-65	.	_	_	_	_

#Text=" Sokka says : " It 's the only bomb we 've got . 
3-1	66-67	"	_	_	_	_
3-2	68-73	Sokka	_	_	_	_
3-3	74-78	says	_	_	_	_
3-4	79-80	:	_	_	_	_
3-5	81-82	"	_	_	_	_
3-6	83-85	It	_	_	*->1-3	*[1]
3-7	86-88	's	_	_	_	_
3-8	89-92	the	_	_	*->1-4	*[1]
3-9	93-97	only	_	_	*->1-4	*[1]
3-10	98-102	bomb	_	_	*->1-4	*[1]
3-11	103-105	we	_	_	*->1-4	*[1]
3-12	106-109	've	_	_	*->1-4	*[1]
3-13	110-113	got	_	_	*->1-4	*[1]
3-14	114-115	.	_	_	_	_

#Text=" 
4-1	116-117	"	_	_	_	_
