#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " We 've been riding for hours . 
1-1	0-4	Zuko	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	We	_	_	_	_
1-6	17-20	've	_	_	_	_
1-7	21-25	been	_	_	_	_
1-8	26-32	riding	_	_	_	_
1-9	33-36	for	_	_	_	_
1-10	37-42	hours	_	_	_	_
1-11	43-44	.	_	_	_	_

#Text=I do n't know why , but I thought this thing would be a lot faster . 
2-1	45-46	I	_	_	*->1-2	*[1]
2-2	47-49	do	_	_	_	_
2-3	50-53	n't	_	_	_	_
2-4	54-58	know	_	_	_	_
2-5	59-62	why	_	_	_	_
2-6	63-64	,	_	_	_	_
2-7	65-68	but	_	_	_	_
2-8	69-70	I	_	_	*->1-3	*[1]
2-9	71-78	thought	_	_	_	_
2-10	79-83	this	_	_	*->2-1	*[2]
2-11	84-89	thing	_	_	*->2-1	*[2]
2-12	90-95	would	_	_	_	_
2-13	96-98	be	_	_	_	_
2-14	99-100	a	_	_	*->2-2	*[2]
2-15	101-104	lot	_	_	*->2-2	*[2]
2-16	105-111	faster	_	_	*->2-2	*[2]
2-17	112-113	.	_	_	_	_

#Text=" 
3-1	114-115	"	_	_	_	_
