#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Is it working ? 
1-1	0-4	Aang	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	Is	_	_	_	_
1-6	17-19	it	_	_	*->2-1	*[2]
1-7	20-27	working	_	_	_	_
1-8	28-29	?	_	_	_	_

#Text=Is it working ? 
2-1	30-32	Is	_	_	_	_
2-2	33-35	it	_	_	*->2-2	*[2]
2-3	36-43	working	_	_	_	_
2-4	44-45	?	_	_	_	_

#Text=I ca n't tell ! 
3-1	46-47	I	_	_	*->1-2	*[1]
3-2	48-50	ca	_	_	_	_
3-3	51-54	n't	_	_	_	_
3-4	55-59	tell	_	_	_	_
3-5	60-61	!	_	_	_	_

#Text=Somebody tell me if I 'm in the Avatar State 'cause I do n't have a good view of myself ! 
4-1	62-70	Somebody	_	_	_	_
4-2	71-75	tell	_	_	_	_
4-3	76-78	me	_	_	*->1-3	*[1]
4-4	79-81	if	_	_	_	_
4-5	82-83	I	_	_	*->1-4	*[1]
4-6	84-86	'm	_	_	_	_
4-7	87-89	in	_	_	_	_
4-8	90-93	the	_	_	_	_
4-9	94-100	Avatar	_	_	_	_
4-10	101-106	State	_	_	_	_
4-11	107-113	'cause	_	_	_	_
4-12	114-115	I	_	_	*->1-5	*[1]
4-13	116-118	do	_	_	_	_
4-14	119-122	n't	_	_	_	_
4-15	123-127	have	_	_	_	_
4-16	128-129	a	_	_	_	_
4-17	130-134	good	_	_	_	_
4-18	135-139	view	_	_	_	_
4-19	140-142	of	_	_	_	_
4-20	143-149	myself	_	_	*->1-6	*[1]
4-21	150-151	!	_	_	_	_

#Text=Am I talking too loud ? 
5-1	152-154	Am	_	_	_	_
5-2	155-156	I	_	_	*->1-7	*[1]
5-3	157-164	talking	_	_	_	_
5-4	165-168	too	_	_	_	_
5-5	169-173	loud	_	_	_	_
5-6	174-175	?	_	_	_	_

#Text=" Sokka says : " I guess he could talk the Fire Lord to death . 
6-1	176-177	"	_	_	_	_
6-2	178-183	Sokka	_	_	*->3-1	*[3]
6-3	184-188	says	_	_	_	_
6-4	189-190	:	_	_	_	_
6-5	191-192	"	_	_	_	_
6-6	193-194	I	_	_	*->3-2	*[3]
6-7	195-200	guess	_	_	_	_
6-8	201-203	he	_	_	*->1-8	*[1]
6-9	204-209	could	_	_	_	_
6-10	210-214	talk	_	_	_	_
6-11	215-218	the	_	_	_	_
6-12	219-223	Fire	_	_	_	_
6-13	224-228	Lord	_	_	_	_
6-14	229-231	to	_	_	_	_
6-15	232-237	death	_	_	_	_
6-16	238-239	.	_	_	_	_

#Text=" 
7-1	240-241	"	_	_	_	_
