#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Hama says : " Do n't worry , you 'll all be completely safe here . 
1-1	0-4	Hama	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	Do	_	_	_	_
1-6	17-20	n't	_	_	_	_
1-7	21-26	worry	_	_	_	_
1-8	27-28	,	_	_	_	_
1-9	29-32	you	_	_	*->2-1	*[2]
1-10	33-36	'll	_	_	_	_
1-11	37-40	all	_	_	_	_
1-12	41-43	be	_	_	_	_
1-13	44-54	completely	_	_	_	_
1-14	55-59	safe	_	_	_	_
1-15	60-64	here	_	_	_	_
1-16	65-66	.	_	_	_	_

#Text=Why do n't I show you to your rooms and you can get a good night 's rest ? 
2-1	67-70	Why	_	_	_	_
2-2	71-73	do	_	_	_	_
2-3	74-77	n't	_	_	_	_
2-4	78-79	I	_	_	*->1-2	*[1]
2-5	80-84	show	_	_	_	_
2-6	85-88	you	_	_	*->2-2	*[2]
2-7	89-91	to	_	_	_	_
2-8	92-96	your	_	_	*->2-3	*[2]
2-9	97-102	rooms	_	_	_	_
2-10	103-106	and	_	_	_	_
2-11	107-110	you	_	_	*->2-4	*[2]
2-12	111-114	can	_	_	_	_
2-13	115-118	get	_	_	_	_
2-14	119-120	a	_	_	_	_
2-15	121-125	good	_	_	_	_
2-16	126-131	night	_	_	_	_
2-17	132-134	's	_	_	_	_
2-18	135-139	rest	_	_	_	_
2-19	140-141	?	_	_	_	_

#Text=" 
3-1	142-143	"	_	_	_	_
