#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Excuse me . 
1-1	0-4	Aang	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-20	Excuse	_	_	_	_
1-6	21-23	me	_	_	*->1-2	*[1]
1-7	24-25	.	_	_	_	_

#Text=Where can a guy find one of those things ? 
2-1	26-31	Where	_	_	_	_
2-2	32-35	can	_	_	_	_
2-3	36-37	a	_	_	_	_
2-4	38-41	guy	_	_	_	_
2-5	42-46	find	_	_	_	_
2-6	47-50	one	_	_	_	_
2-7	51-53	of	_	_	_	_
2-8	54-59	those	_	_	_	_
2-9	60-66	things	_	_	_	_
2-10	67-68	?	_	_	_	_

#Text=" 
3-1	69-70	"	_	_	_	_
