#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " Varrick , how come your electro - thingy shut down the small mecha suits but not the big one ? " 
1-1	0-5	Bolin	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-22	Varrick	*	PER	*->2-1	*[2]
1-6	23-24	,	_	_	_	_
1-7	25-28	how	_	_	_	_
1-8	29-33	come	_	_	_	_
1-9	34-38	your	_	_	*->3-1	*[3]
1-10	39-46	electro	_	_	*->3-1	*[3]
1-11	47-48	-	_	_	*->3-1	*[3]
1-12	49-55	thingy	_	_	*->3-1	*[3]
1-13	56-60	shut	_	_	_	_
1-14	61-65	down	_	_	_	_
1-15	66-69	the	_	_	*->4-1	*[4]
1-16	70-75	small	_	_	*->4-1	*[4]
1-17	76-81	mecha	_	_	*->4-1	*[4]
1-18	82-87	suits	_	_	*->4-1	*[4]
1-19	88-91	but	_	_	_	_
1-20	92-95	not	_	_	_	_
1-21	96-99	the	_	_	_	_
1-22	100-103	big	_	_	_	_
1-23	104-107	one	_	_	_	_
1-24	108-109	?	_	_	_	_
1-25	110-111	"	_	_	_	_

#Text=Baatar Jr. says : " Because it 's powered with spirit vine energy . 
2-1	112-118	Baatar	*	PER	*->5-1	*[5]
2-2	119-122	Jr.	*	PER	*->5-1	*[5]
2-3	123-127	says	_	_	_	_
2-4	128-129	:	_	_	_	_
2-5	130-131	"	_	_	_	_
2-6	132-139	Because	_	_	_	_
2-7	140-142	it	_	_	*->3-2	*[3]
2-8	143-145	's	_	_	_	_
2-9	146-153	powered	_	_	_	_
2-10	154-158	with	_	_	_	_
2-11	159-165	spirit	_	_	_	_
2-12	166-170	vine	_	_	_	_
2-13	171-177	energy	_	_	_	_
2-14	178-179	.	_	_	_	_

#Text=I 'm sorry . 
3-1	180-181	I	_	_	*->5-2	*[5]
3-2	182-184	'm	_	_	_	_
3-3	185-190	sorry	_	_	_	_
3-4	191-192	.	_	_	_	_

#Text=I wish I could help you , but it 's unstoppable . 
4-1	193-194	I	_	_	*->5-3	*[5]
4-2	195-199	wish	_	_	_	_
4-3	200-201	I	_	_	*->5-4	*[5]
4-4	202-207	could	_	_	_	_
4-5	208-212	help	_	_	_	_
4-6	213-216	you	_	_	*->1-2	*[1]
4-7	217-218	,	_	_	_	_
4-8	219-222	but	_	_	_	_
4-9	223-225	it	_	_	*->3-3	*[3]
4-10	226-228	's	_	_	_	_
4-11	229-240	unstoppable	_	_	_	_
4-12	241-242	.	_	_	_	_

#Text=" Hiroshi says : " It 's not . 
5-1	243-244	"	_	_	_	_
5-2	245-252	Hiroshi	*	PER	*->6-1	*[6]
5-3	253-257	says	_	_	_	_
5-4	258-259	:	_	_	_	_
5-5	260-261	"	_	_	_	_
5-6	262-264	It	_	_	*->3-4	*[3]
5-7	265-267	's	_	_	_	_
5-8	268-271	not	_	_	_	_
5-9	272-273	.	_	_	_	_

#Text=" Asami says : " Dad ? 
6-1	274-275	"	_	_	*->7-1	*[7]
6-2	276-281	Asami	*	PER	*->7-1	*[7]
6-3	282-286	says	_	_	_	_
6-4	287-288	:	_	_	_	_
6-5	289-290	"	_	_	_	_
6-6	291-294	Dad	_	_	_	_
6-7	295-296	?	_	_	_	_

#Text=" Lin says : " I got him out of jail to help . 
7-1	297-298	"	_	_	_	_
7-2	299-302	Lin	*	PER	*->8-1	*[8]
7-3	303-307	says	_	_	_	_
7-4	308-309	:	_	_	_	_
7-5	310-311	"	_	_	_	_
7-6	312-313	I	_	_	*->8-2	*[8]
7-7	314-317	got	_	_	_	_
7-8	318-321	him	_	_	*->7-2	*[7]
7-9	322-325	out	_	_	_	_
7-10	326-328	of	_	_	_	_
7-11	329-333	jail	_	_	_	_
7-12	334-336	to	_	_	_	_
7-13	337-341	help	_	_	_	_
7-14	342-343	.	_	_	_	_

#Text=I figured we need all the geniuses we can get our hands on right now . 
8-1	344-345	I	_	_	*->8-3	*[8]
8-2	346-353	figured	_	_	_	_
8-3	354-356	we	_	_	*->9-1	*[9]
8-4	357-361	need	_	_	_	_
8-5	362-365	all	_	_	_	_
8-6	366-369	the	_	_	_	_
8-7	370-378	geniuses	_	_	_	_
8-8	379-381	we	_	_	*->9-2	*[9]
8-9	382-385	can	_	_	_	_
8-10	386-389	get	_	_	_	_
8-11	390-393	our	_	_	*->9-3	*[9]
8-12	394-399	hands	_	_	_	_
8-13	400-402	on	_	_	_	_
8-14	403-408	right	_	_	_	_
8-15	409-412	now	_	_	_	_
8-16	413-414	.	_	_	_	_

#Text=If the prison 's still standing after all this is over , we can throw him back in . 
9-1	415-417	If	_	_	_	_
9-2	418-421	the	_	_	_	_
9-3	422-428	prison	_	_	_	_
9-4	429-431	's	_	_	_	_
9-5	432-437	still	_	_	_	_
9-6	438-446	standing	_	_	_	_
9-7	447-452	after	_	_	_	_
9-8	453-456	all	_	_	_	_
9-9	457-461	this	_	_	_	_
9-10	462-464	is	_	_	_	_
9-11	465-469	over	_	_	_	_
9-12	470-471	,	_	_	_	_
9-13	472-474	we	_	_	*->9-4	*[9]
9-14	475-478	can	_	_	_	_
9-15	479-484	throw	_	_	_	_
9-16	485-488	him	_	_	*->7-3	*[7]
9-17	489-493	back	_	_	_	_
9-18	494-496	in	_	_	_	_
9-19	497-498	.	_	_	_	_

#Text=" Hiroshi says : " I know what you all must think of me , but I love Republic City and I would do anything to save her . 
10-1	499-500	"	_	_	_	_
10-2	501-508	Hiroshi	*	PER	*->6-2	*[6]
10-3	509-513	says	_	_	_	_
10-4	514-515	:	_	_	_	_
10-5	516-517	"	_	_	_	_
10-6	518-519	I	_	_	*->6-3	*[6]
10-7	520-524	know	_	_	_	_
10-8	525-529	what	_	_	_	_
10-9	530-533	you	_	_	*->10-1	*[10]
10-10	534-537	all	_	_	_	_
10-11	538-542	must	_	_	_	_
10-12	543-548	think	_	_	_	_
10-13	549-551	of	_	_	_	_
10-14	552-554	me	_	_	*->6-4	*[6]
10-15	555-556	,	_	_	_	_
10-16	557-560	but	_	_	_	_
10-17	561-562	I	_	_	*->6-5	*[6]
10-18	563-567	love	_	_	_	_
10-19	568-576	Republic	_	_	_	_
10-20	577-581	City	_	_	_	_
10-21	582-585	and	_	_	_	_
10-22	586-587	I	_	_	*->6-6	*[6]
10-23	588-593	would	_	_	_	_
10-24	594-596	do	_	_	_	_
10-25	597-605	anything	_	_	_	_
10-26	606-608	to	_	_	_	_
10-27	609-613	save	_	_	_	_
10-28	614-617	her	_	_	_	_
10-29	618-619	.	_	_	_	_

#Text=" Korra says : " You think you know how to defeat this thing ? 
11-1	620-621	"	_	_	_	_
11-2	622-627	Korra	*	PER	*->11-1	*[11]
11-3	628-632	says	_	_	_	_
11-4	633-634	:	_	_	_	_
11-5	635-636	"	_	_	_	_
11-6	637-640	You	_	_	*->6-7	*[6]
11-7	641-646	think	_	_	_	_
11-8	647-650	you	_	_	*->6-8	*[6]
11-9	651-655	know	_	_	_	_
11-10	656-659	how	_	_	_	_
11-11	660-662	to	_	_	_	_
11-12	663-669	defeat	_	_	_	_
11-13	670-674	this	_	_	_	_
11-14	675-680	thing	_	_	_	_
11-15	681-682	?	_	_	_	_

#Text=" Hiroshi says : " You must act like an infection : break the skin and attack its vital organs , disconnect the heart and the brain and this beast can not live . 
12-1	683-684	"	_	_	_	_
12-2	685-692	Hiroshi	*	PER	*->6-9	*[6]
12-3	693-697	says	_	_	_	_
12-4	698-699	:	_	_	_	_
12-5	700-701	"	_	_	_	_
12-6	702-705	You	_	_	*->10-2	*[10]
12-7	706-710	must	_	_	_	_
12-8	711-714	act	_	_	_	_
12-9	715-719	like	_	_	_	_
12-10	720-722	an	_	_	*->12-1	*[12]
12-11	723-732	infection	_	_	*->12-1	*[12]
12-12	733-734	:	_	_	_	_
