#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Look at those clear skies , buddy ! 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	Look	_	_	_	_
1-6	19-21	at	_	_	_	_
1-7	22-27	those	_	_	_	_
1-8	28-33	clear	_	_	_	_
1-9	34-39	skies	_	_	_	_
1-10	40-41	,	_	_	_	_
1-11	42-47	buddy	_	_	_	_
1-12	48-49	!	_	_	_	_

#Text=Should be some smooth flying . 
2-1	50-56	Should	_	_	_	_
2-2	57-59	be	_	_	_	_
2-3	60-64	some	_	_	_	_
2-4	65-71	smooth	_	_	_	_
2-5	72-78	flying	_	_	_	_
2-6	79-80	.	_	_	_	_

#Text=" 
3-1	81-82	"	_	_	_	_
