#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Roku says : " Sozin and I did n't speak or see each other for twenty - five years after our battle . 
1-1	0-4	Roku	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Sozin	_	_	_	_
1-6	20-23	and	_	_	_	_
1-7	24-25	I	_	_	*->1-2	*[1]
1-8	26-29	did	_	_	_	_
1-9	30-33	n't	_	_	_	_
1-10	34-39	speak	_	_	_	_
1-11	40-42	or	_	_	_	_
1-12	43-46	see	_	_	_	_
1-13	47-51	each	_	_	_	_
1-14	52-57	other	_	_	_	_
1-15	58-61	for	_	_	_	_
1-16	62-68	twenty	_	_	_	_
1-17	69-70	-	_	_	_	_
1-18	71-75	five	_	_	_	_
1-19	76-81	years	_	_	_	_
1-20	82-87	after	_	_	_	_
1-21	88-91	our	_	_	_	_
1-22	92-98	battle	_	_	_	_
1-23	99-100	.	_	_	_	_

#Text=I spent most of my spare time here , at my home . 
2-1	101-102	I	_	_	*->1-3	*[1]
2-2	103-108	spent	_	_	_	_
2-3	109-113	most	_	_	_	_
2-4	114-116	of	_	_	_	_
2-5	117-119	my	_	_	*->1-4	*[1]
2-6	120-125	spare	_	_	_	_
2-7	126-130	time	_	_	_	_
2-8	131-135	here	_	_	_	_
2-9	136-137	,	_	_	_	_
2-10	138-140	at	_	_	_	_
2-11	141-143	my	_	_	*->1-5	*[1]
2-12	144-148	home	_	_	_	_
2-13	149-150	.	_	_	_	_

#Text=" 
3-1	151-152	"	_	_	_	_
