#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " This is the Omashu delivery system . 
1-1	0-4	Aang	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	This	_	_	*->1-2	*[1]
1-6	19-21	is	_	_	_	_
1-7	22-25	the	_	_	*->1-1	*[1]
1-8	26-32	Omashu	_	_	*->1-1	*[1]
1-9	33-41	delivery	_	_	*->1-1	*[1]
1-10	42-48	system	_	_	*->1-1	*[1]
1-11	49-50	.	_	_	_	_

#Text=Miles and miles of tubes and chutes . 
2-1	51-56	Miles	_	_	_	_
2-2	57-60	and	_	_	_	_
2-3	61-66	miles	_	_	_	_
2-4	67-69	of	_	_	_	_
2-5	70-75	tubes	_	_	_	_
2-6	76-79	and	_	_	_	_
2-7	80-86	chutes	_	_	_	_
2-8	87-88	.	_	_	_	_

#Text=" 
3-1	89-90	"	_	_	_	_
