#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Piandao says : " Nothing runs faster over land or swims quicker than a giant eel hound . 
1-1	0-7	Piandao	*	PER	*->1-1	*[1]
1-2	8-12	says	_	_	_	_
1-3	13-14	:	_	_	_	_
1-4	15-16	"	_	_	_	_
1-5	17-24	Nothing	_	_	_	_
1-6	25-29	runs	_	_	_	_
1-7	30-36	faster	_	_	_	_
1-8	37-41	over	_	_	_	_
1-9	42-46	land	_	_	_	_
1-10	47-49	or	_	_	_	_
1-11	50-55	swims	_	_	_	_
1-12	56-63	quicker	_	_	_	_
1-13	64-68	than	_	_	_	_
1-14	69-70	a	_	_	_	_
1-15	71-76	giant	_	_	_	_
1-16	77-80	eel	_	_	_	_
1-17	81-86	hound	_	_	_	_
1-18	87-88	.	_	_	_	_

#Text=The air ship base is on a small island just off the Earth Kingdom shore . 
2-1	89-92	The	_	_	_	_
2-2	93-96	air	_	_	_	_
2-3	97-101	ship	_	_	_	_
2-4	102-106	base	_	_	_	_
2-5	107-109	is	_	_	_	_
2-6	110-112	on	_	_	_	_
2-7	113-114	a	_	_	_	_
2-8	115-120	small	_	_	_	_
2-9	121-127	island	_	_	_	_
2-10	128-132	just	_	_	_	_
2-11	133-136	off	_	_	_	_
2-12	137-140	the	_	_	_	_
2-13	141-146	Earth	_	_	_	_
2-14	147-154	Kingdom	_	_	_	_
2-15	155-160	shore	_	_	_	_
2-16	161-162	.	_	_	_	_

#Text=You should be able to intercept the fleet within a day 's journey . 
3-1	163-166	You	_	_	_	_
3-2	167-173	should	_	_	_	_
3-3	174-176	be	_	_	_	_
3-4	177-181	able	_	_	_	_
3-5	182-184	to	_	_	_	_
3-6	185-194	intercept	_	_	_	_
3-7	195-198	the	_	_	_	_
3-8	199-204	fleet	_	_	_	_
3-9	205-211	within	_	_	_	_
3-10	212-213	a	_	_	_	_
3-11	214-217	day	_	_	_	_
3-12	218-220	's	_	_	_	_
3-13	221-228	journey	_	_	_	_
3-14	229-230	.	_	_	_	_

#Text=" Sokka says : " Thank you , Master . 
4-1	231-232	"	_	_	_	_
4-2	233-238	Sokka	_	_	_	_
4-3	239-243	says	_	_	_	_
4-4	244-245	:	_	_	_	_
4-5	246-247	"	_	_	_	_
4-6	248-253	Thank	_	_	_	_
4-7	254-257	you	_	_	*->1-2	*[1]
4-8	258-259	,	_	_	_	_
4-9	260-266	Master	_	_	_	_
4-10	267-268	.	_	_	_	_

#Text=" 
5-1	269-270	"	_	_	_	_
