#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Jaya says : " What did you do ? 
1-1	0-4	Jaya	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	What	_	_	_	_
1-6	19-22	did	_	_	_	_
1-7	23-26	you	_	_	*->1-1	*[1]
1-8	27-29	do	_	_	_	_
1-9	30-31	?	_	_	_	_

#Text=You ca n't steal from the lion turtle . 
2-1	32-35	You	_	_	*->1-2	*[1]
2-2	36-38	ca	_	_	_	_
2-3	39-42	n't	_	_	_	_
2-4	43-48	steal	_	_	_	_
2-5	49-53	from	_	_	_	_
2-6	54-57	the	_	_	_	_
2-7	58-62	lion	_	_	_	_
2-8	63-69	turtle	_	_	_	_
2-9	70-71	.	_	_	_	_

#Text=" Wan says : " Really ? 
3-1	72-73	"	_	_	_	_
3-2	74-77	Wan	_	_	*->2-1	*[2]
3-3	78-82	says	_	_	_	_
3-4	83-84	:	_	_	_	_
3-5	85-86	"	_	_	_	_
3-6	87-93	Really	_	_	_	_
3-7	94-95	?	_	_	_	_

#Text=Because I just did . 
4-1	96-103	Because	_	_	_	_
4-2	104-105	I	_	_	*->2-2	*[2]
4-3	106-110	just	_	_	_	_
4-4	111-114	did	_	_	_	_
4-5	115-116	.	_	_	_	_

#Text=" 
5-1	117-118	"	_	_	_	_
