#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Ozai says : " Really ? 
1-1	0-4	Ozai	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-20	Really	_	_	_	_
1-6	21-22	?	_	_	_	_

#Text=How do you plan on doing that when you 're not even wearing pants ? 
2-1	23-26	How	_	_	_	_
2-2	27-29	do	_	_	_	_
2-3	30-33	you	_	_	*->1-1	*[1]
2-4	34-38	plan	_	_	_	_
2-5	39-41	on	_	_	_	_
2-6	42-47	doing	_	_	_	_
2-7	48-52	that	_	_	_	_
2-8	53-57	when	_	_	_	_
2-9	58-61	you	_	_	*->1-2	*[1]
2-10	62-65	're	_	_	_	_
2-11	66-69	not	_	_	_	_
2-12	70-74	even	_	_	_	_
2-13	75-82	wearing	_	_	_	_
2-14	83-88	pants	_	_	_	_
2-15	89-90	?	_	_	_	_

#Text=" 
3-1	91-92	"	_	_	_	_
