#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Sozin says : " On wedding days , we look to the future with optimism and joy . 
1-1	0-5	Sozin	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-17	On	_	_	_	_
1-6	18-25	wedding	_	_	_	_
1-7	26-30	days	_	_	_	_
1-8	31-32	,	_	_	_	_
1-9	33-35	we	_	_	_	_
1-10	36-40	look	_	_	_	_
1-11	41-43	to	_	_	_	_
1-12	44-47	the	_	_	_	_
1-13	48-54	future	_	_	_	_
1-14	55-59	with	_	_	_	_
1-15	60-68	optimism	_	_	_	_
1-16	69-72	and	_	_	_	_
1-17	73-76	joy	_	_	_	_
1-18	77-78	.	_	_	_	_

#Text=I had my own vision for a brighter future . 
2-1	79-80	I	_	_	*->1-2	*[1]
2-2	81-84	had	_	_	_	_
2-3	85-87	my	_	_	*->1-3	*[1]
2-4	88-91	own	_	_	_	_
2-5	92-98	vision	_	_	_	_
2-6	99-102	for	_	_	_	_
2-7	103-104	a	_	_	_	_
2-8	105-113	brighter	_	_	_	_
2-9	114-120	future	_	_	_	_
2-10	121-122	.	_	_	_	_

#Text=" 
3-1	123-124	"	_	_	_	_
