#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Zuko says : " Ugh , I ca n't pull free . 
1-1	0-4	Zuko	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-17	Ugh	_	_	_	_
1-6	18-19	,	_	_	_	_
1-7	20-21	I	_	_	*->1-2	*[1]
1-8	22-24	ca	_	_	_	_
1-9	25-28	n't	_	_	_	_
1-10	29-33	pull	_	_	_	_
1-11	34-38	free	_	_	_	_
1-12	39-40	.	_	_	_	_

#Text=It 's like some kind of glue . 
2-1	41-43	It	_	_	_	_
2-2	44-46	's	_	_	_	_
2-3	47-51	like	_	_	_	_
2-4	52-56	some	_	_	_	_
2-5	57-61	kind	_	_	_	_
2-6	62-64	of	_	_	_	_
2-7	65-69	glue	_	_	_	_
2-8	70-71	.	_	_	_	_

#Text=" 
3-1	72-73	"	_	_	_	_
