#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Tenzin says : " There it is , the Southern Air Temple . 
1-1	0-6	Tenzin	*	PER	_	_
1-2	7-11	says	_	_	_	_
1-3	12-13	:	_	_	_	_
1-4	14-15	"	_	_	_	_
1-5	16-21	There	_	_	_	_
1-6	22-24	it	_	_	*->1-2	*[1]
1-7	25-27	is	_	_	_	_
1-8	28-29	,	_	_	_	_
1-9	30-33	the	_	_	*->1-1	*[1]
1-10	34-42	Southern	_	_	*->1-1	*[1]
1-11	43-46	Air	_	_	*->1-1	*[1]
1-12	47-53	Temple	_	_	*->1-1	*[1]
1-13	54-55	.	_	_	_	_

#Text=Is n't it magnificent ? 
2-1	56-58	Is	_	_	_	_
2-2	59-62	n't	_	_	_	_
2-3	63-65	it	_	_	*->1-3	*[1]
2-4	66-77	magnificent	_	_	_	_
2-5	78-79	?	_	_	_	_

#Text=" 
3-1	80-81	"	_	_	_	_
