#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Iroh says : " I 'm going after those airplanes . " 
1-1	0-4	Iroh	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-15	I	_	_	*->1-2	*[1]
1-6	16-18	'm	_	_	_	_
1-7	19-24	going	_	_	_	_
1-8	25-30	after	_	_	_	_
1-9	31-36	those	_	_	_	_
1-10	37-46	airplanes	_	_	_	_
1-11	47-48	.	_	_	_	_
1-12	49-50	"	_	_	_	_

#Text=Bolin says : " Ahh ! 
2-1	51-56	Bolin	*	PER	*->3-1	*[3]
2-2	57-61	says	_	_	_	_
2-3	62-63	:	_	_	_	_
2-4	64-65	"	_	_	_	_
2-5	66-69	Ahh	_	_	_	_
2-6	70-71	!	_	_	_	_

#Text=No , Naga ! 
3-1	72-74	No	_	_	_	_
3-2	75-76	,	_	_	_	_
3-3	77-81	Naga	_	_	_	_
3-4	82-83	!	_	_	_	_

#Text=" Asami says : " Huh , what do you know ... just like a Future Industries forklift . 
4-1	84-85	"	_	_	_	_
4-2	86-91	Asami	*	PER	_	_
4-3	92-96	says	_	_	_	_
4-4	97-98	:	_	_	_	_
4-5	99-100	"	_	_	_	_
4-6	101-104	Huh	_	_	_	_
4-7	105-106	,	_	_	_	_
4-8	107-111	what	_	_	_	_
4-9	112-114	do	_	_	_	_
4-10	115-118	you	_	_	*->3-2	*[3]
4-11	119-123	know	_	_	_	_
4-12	124-127	...	_	_	_	_
4-13	128-132	just	_	_	_	_
4-14	133-137	like	_	_	_	_
4-15	138-139	a	_	_	_	_
4-16	140-146	Future	_	_	_	_
4-17	147-157	Industries	_	_	_	_
4-18	158-166	forklift	_	_	_	_
4-19	167-168	.	_	_	_	_

#Text=" Amon says : " Tonight , I rid the world of airbending , forever . 
5-1	169-170	"	_	_	_	_
5-2	171-175	Amon	*	PER	*->4-1	*[4]
5-3	176-180	says	_	_	_	_
5-4	181-182	:	_	_	_	_
5-5	183-184	"	_	_	_	_
5-6	185-192	Tonight	_	_	_	_
5-7	193-194	,	_	_	_	_
5-8	195-196	I	_	_	*->4-2	*[4]
