#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Mako says : " All right . 
1-1	0-4	Mako	*	PER	_	_
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-17	All	_	_	_	_
1-6	18-23	right	_	_	_	_
1-7	24-25	.	_	_	_	_

#Text=Let 's see if we can catch a train back to the Upper Ring . 
2-1	26-29	Let	_	_	_	_
2-2	30-32	's	_	_	*->1-1	*[1]
2-3	33-36	see	_	_	_	_
2-4	37-39	if	_	_	_	_
2-5	40-42	we	_	_	*->1-2	*[1]
2-6	43-46	can	_	_	_	_
2-7	47-52	catch	_	_	_	_
2-8	53-54	a	_	_	_	_
2-9	55-60	train	_	_	_	_
2-10	61-65	back	_	_	_	_
2-11	66-68	to	_	_	_	_
2-12	69-72	the	_	_	_	_
2-13	73-78	Upper	_	_	_	_
2-14	79-83	Ring	_	_	_	_
2-15	84-85	.	_	_	_	_

#Text=" 
3-1	86-87	"	_	_	_	_
