#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " I caught the bad guys for you , officers . " 
1-1	0-5	Korra	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-16	I	_	_	*->1-2	*[1]
1-6	17-23	caught	_	_	_	_
1-7	24-27	the	_	_	*->2-1	*[2]
1-8	28-31	bad	_	_	*->2-1	*[2]
1-9	32-36	guys	_	_	*->2-1	*[2]
1-10	37-40	for	_	_	_	_
1-11	41-44	you	_	_	_	_
1-12	45-46	,	_	_	_	_
1-13	47-55	officers	_	_	_	_
1-14	56-57	.	_	_	_	_
1-15	58-59	"	_	_	_	_

#Text=Saikhan says : " Arrest them ! " 
2-1	60-67	Saikhan	*	PER	*->3-1	*[3]
2-2	68-72	says	_	_	_	_
2-3	73-74	:	_	_	_	_
2-4	75-76	"	_	_	_	_
2-5	77-83	Arrest	_	_	_	_
2-6	84-88	them	_	_	*->2-2	*[2]
2-7	89-90	!	_	_	_	_
2-8	91-92	"	_	_	_	_

#Text=Saikhan says : " You 're under arrest , too . " 
3-1	93-100	Saikhan	*	PER	*->3-2	*[3]
3-2	101-105	says	_	_	_	_
3-3	106-107	:	_	_	_	_
3-4	108-109	"	_	_	_	_
3-5	110-113	You	_	_	_	_
3-6	114-117	're	_	_	_	_
3-7	118-123	under	_	_	_	_
3-8	124-130	arrest	_	_	_	_
3-9	131-132	,	_	_	_	_
3-10	133-136	too	_	_	_	_
3-11	137-138	.	_	_	_	_
3-12	139-140	"	_	_	_	_
