#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Lin says : " I ca n't believe Amon got you too . " 
1-1	0-3	Lin	*	PER	*->1-1	*[1]
1-2	4-8	says	_	_	_	_
1-3	9-10	:	_	_	_	_
1-4	11-12	"	_	_	_	_
1-5	13-14	I	_	_	*->1-2	*[1]
1-6	15-17	ca	_	_	_	_
1-7	18-21	n't	_	_	_	_
1-8	22-29	believe	_	_	_	_
1-9	30-34	Amon	*	PER	_	_
1-10	35-38	got	_	_	_	_
1-11	39-42	you	_	_	_	_
1-12	43-46	too	_	_	_	_
1-13	47-48	.	_	_	_	_
1-14	49-50	"	_	_	_	_

#Text=Bolin says : " Hey , at least you unlocked your airbending ! " 
2-1	51-56	Bolin	*	PER	*->2-1	*[2]
2-2	57-61	says	_	_	_	_
2-3	62-63	:	_	_	_	_
2-4	64-65	"	_	_	_	_
2-5	66-69	Hey	_	_	_	_
2-6	70-71	,	_	_	_	_
2-7	72-74	at	_	_	_	_
2-8	75-80	least	_	_	_	_
2-9	81-84	you	_	_	*->1-3	*[1]
2-10	85-93	unlocked	_	_	_	_
2-11	94-98	your	_	_	*->1-4	*[1]
2-12	99-109	airbending	_	_	_	_
2-13	110-111	!	_	_	_	_
2-14	112-113	"	_	_	_	_

#Text=Mako says : " Bro , not the time . " 
3-1	114-118	Mako	*	PER	_	_
3-2	119-123	says	_	_	_	_
3-3	124-125	:	_	_	_	_
3-4	126-127	"	_	_	_	_
3-5	128-131	Bro	_	_	_	_
3-6	132-133	,	_	_	_	_
3-7	134-137	not	_	_	_	_
3-8	138-141	the	_	_	_	_
3-9	142-146	time	_	_	_	_
3-10	147-148	.	_	_	_	_
3-11	149-150	"	_	_	_	_

#Text=Bolin says : " Right , right , I 'll just stand over here quietly , in silence . " 
4-1	151-156	Bolin	*	PER	*->2-2	*[2]
4-2	157-161	says	_	_	_	_
4-3	162-163	:	_	_	_	_
4-4	164-165	"	_	_	_	_
4-5	166-171	Right	_	_	_	_
4-6	172-173	,	_	_	_	_
4-7	174-179	right	_	_	_	_
4-8	180-181	,	_	_	_	_
4-9	182-183	I	_	_	*->2-3	*[2]
4-10	184-187	'll	_	_	_	_
4-11	188-192	just	_	_	_	_
4-12	193-198	stand	_	_	_	_
4-13	199-203	over	_	_	_	_
4-14	204-208	here	_	_	_	_
4-15	209-216	quietly	_	_	_	_
4-16	217-218	,	_	_	_	_
4-17	219-221	in	_	_	_	_
4-18	222-229	silence	_	_	_	_
4-19	230-231	.	_	_	_	_
4-20	232-233	"	_	_	_	_
