#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Mai says : " I thought my life was boring in the Fire Nation , but this place is unbearably bleak . 
1-1	0-3	Mai	*	PER	*->1-1	*[1]
1-2	4-8	says	_	_	_	_
1-3	9-10	:	_	_	_	_
1-4	11-12	"	_	_	_	_
1-5	13-14	I	_	_	*->1-2	*[1]
1-6	15-22	thought	_	_	_	_
1-7	23-25	my	_	_	*->1-3	*[1]
1-8	26-30	life	_	_	_	_
1-9	31-34	was	_	_	_	_
1-10	35-41	boring	_	_	_	_
1-11	42-44	in	_	_	_	_
1-12	45-48	the	_	_	_	_
1-13	49-53	Fire	_	_	_	_
1-14	54-60	Nation	_	_	_	_
1-15	61-62	,	_	_	_	_
1-16	63-66	but	_	_	_	_
1-17	67-71	this	_	_	_	_
1-18	72-77	place	_	_	_	_
1-19	78-80	is	_	_	_	_
1-20	81-91	unbearably	_	_	_	_
1-21	92-97	bleak	_	_	_	_
1-22	98-99	.	_	_	_	_

#Text=Nothing ever happens . 
2-1	100-107	Nothing	_	_	_	_
2-2	108-112	ever	_	_	_	_
2-3	113-120	happens	_	_	_	_
2-4	121-122	.	_	_	_	_

#Text=" 
3-1	123-124	"	_	_	_	_
