#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Wu says : " You 've never had the tea leaf wrap ? 
1-1	0-2	Wu	*	PER	_	_
1-2	3-7	says	_	_	_	_
1-3	8-9	:	_	_	_	_
1-4	10-11	"	_	_	_	_
1-5	12-15	You	_	_	*->1-1	*[1]
1-6	16-19	've	_	_	_	_
1-7	20-25	never	_	_	_	_
1-8	26-29	had	_	_	_	_
1-9	30-33	the	_	_	_	_
1-10	34-37	tea	_	_	_	_
1-11	38-42	leaf	_	_	_	_
1-12	43-47	wrap	_	_	_	_
1-13	48-49	?	_	_	_	_

#Text=You have no idea what you 're missing . 
2-1	50-53	You	_	_	*->1-2	*[1]
2-2	54-58	have	_	_	_	_
2-3	59-61	no	_	_	_	_
2-4	62-66	idea	_	_	_	_
2-5	67-71	what	_	_	_	_
2-6	72-75	you	_	_	*->1-3	*[1]
2-7	76-79	're	_	_	_	_
2-8	80-87	missing	_	_	_	_
2-9	88-89	.	_	_	_	_

#Text=The face massage alone is to die for . 
3-1	90-93	The	_	_	_	_
3-2	94-98	face	_	_	_	_
3-3	99-106	massage	_	_	_	_
3-4	107-112	alone	_	_	_	_
3-5	113-115	is	_	_	_	_
3-6	116-118	to	_	_	_	_
3-7	119-122	die	_	_	_	_
3-8	123-126	for	_	_	_	_
3-9	127-128	.	_	_	_	_

#Text=" 
4-1	129-130	"	_	_	_	_
