#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " Yeah ! " 
1-1	0-5	Bolin	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-19	Yeah	_	_	_	_
1-6	20-21	!	_	_	_	_
1-7	22-23	"	_	_	_	_

#Text=Asami says : " Are n't you coming ? " 
2-1	24-29	Asami	*	PER	_	_
2-2	30-34	says	_	_	_	_
2-3	35-36	:	_	_	_	_
2-4	37-38	"	_	_	_	_
2-5	39-42	Are	_	_	_	_
2-6	43-46	n't	_	_	_	_
2-7	47-50	you	_	_	*->1-2	*[1]
2-8	51-57	coming	_	_	*->1-2	*[1]
2-9	58-59	?	_	_	_	_
2-10	60-61	"	_	_	_	_

#Text=Lin says : " What 's there to see ? 
3-1	62-65	Lin	*	PER	*->2-1	*[2]
3-2	66-70	says	_	_	_	_
3-3	71-72	:	_	_	_	_
3-4	73-74	"	_	_	_	_
3-5	75-79	What	_	_	_	_
3-6	80-82	's	_	_	_	_
3-7	83-88	there	_	_	*->3-1	*[3]
3-8	89-91	to	_	_	*->3-1	*[3]
3-9	92-95	see	_	_	*->3-1	*[3]
3-10	96-97	?	_	_	_	_

#Text=It 's metal . 
4-1	98-100	It	_	_	*->3-2	*[3]
4-2	101-103	's	_	_	_	_
4-3	104-109	metal	_	_	_	_
4-4	110-111	.	_	_	_	_

#Text=Big whoop . 
5-1	112-115	Big	_	_	_	_
5-2	116-121	whoop	_	_	_	_
5-3	122-123	.	_	_	_	_

#Text=Just find the airbender and let 's get moving . 
6-1	124-128	Just	_	_	_	_
6-2	129-133	find	_	_	_	_
6-3	134-137	the	_	_	*->4-1	*[4]
6-4	138-147	airbender	_	_	*->4-1	*[4]
6-5	148-151	and	_	_	_	_
6-6	152-155	let	_	_	_	_
6-7	156-158	's	_	_	*->4-2	*[4]
6-8	159-162	get	_	_	_	_
6-9	163-169	moving	_	_	_	_
6-10	170-171	.	_	_	_	_

#Text=Do n't tell anyone I 'm here . 
7-1	172-174	Do	_	_	_	_
7-2	175-178	n't	_	_	_	_
7-3	179-183	tell	_	_	_	_
7-4	184-190	anyone	_	_	_	_
7-5	191-192	I	_	_	*->2-2	*[2]
7-6	193-195	'm	_	_	_	_
7-7	196-200	here	_	_	_	_
7-8	201-202	.	_	_	_	_

#Text=" Korra says : " Why not ? 
8-1	203-204	"	_	_	_	_
8-2	205-210	Korra	*	PER	_	_
8-3	211-215	says	_	_	_	_
8-4	216-217	:	_	_	_	_
8-5	218-219	"	_	_	_	_
8-6	220-223	Why	_	_	_	_
8-7	224-227	not	_	_	_	_
8-8	228-229	?	_	_	_	_

#Text=" Lin says : " I do n't need to explain myself to you . 
9-1	230-231	"	_	_	_	_
9-2	232-235	Lin	*	PER	*->2-3	*[2]
9-3	236-240	says	_	_	_	_
9-4	241-242	:	_	_	_	_
9-5	243-244	"	_	_	_	_
9-6	245-246	I	_	_	*->2-4	*[2]
9-7	247-249	do	_	_	_	_
9-8	250-253	n't	_	_	_	_
9-9	254-258	need	_	_	_	_
9-10	259-261	to	_	_	_	_
9-11	262-269	explain	_	_	_	_
9-12	270-276	myself	_	_	*->2-5	*[2]
9-13	277-279	to	_	_	_	_
9-14	280-283	you	_	_	_	_
9-15	284-285	.	_	_	_	_

#Text=Just do what I say . 
10-1	286-290	Just	_	_	_	_
10-2	291-293	do	_	_	_	_
10-3	294-298	what	_	_	_	_
10-4	299-300	I	_	_	*->2-6	*[2]
10-5	301-304	say	_	_	_	_
10-6	305-306	.	_	_	_	_

#Text=" Korra says : " Fine . 
11-1	307-308	"	_	_	*->5-1	*[5]
11-2	309-314	Korra	*	PER	*->5-1	*[5]
11-3	315-319	says	_	_	_	_
11-4	320-321	:	_	_	_	_
11-5	322-323	"	_	_	_	_
11-6	324-328	Fine	_	_	*->6-1	*[6]
11-7	329-330	.	_	_	_	_

#Text=You got it , Chief Crankypants . 
12-1	331-334	You	_	_	*->2-7	*[2]
12-2	335-338	got	_	_	_	_
12-3	339-341	it	_	_	*->6-2	*[6]
12-4	342-343	,	_	_	_	_
12-5	344-349	Chief	_	_	_	_
12-6	350-361	Crankypants	_	_	_	_
12-7	362-363	.	_	_	_	_

#Text=" Aiwei says : " Avatar Korra . 
13-1	364-365	"	_	_	_	_
13-2	366-371	Aiwei	*	PER	*->7-1	*[7]
13-3	372-376	says	_	_	_	_
13-4	377-378	:	_	_	_	_
13-5	379-380	"	_	_	_	_
13-6	381-387	Avatar	*	PER	*->5-4	*[5]
13-7	388-393	Korra	*	PER	*->5-4	*[5]
13-8	394-395	.	_	_	_	_

#Text=It is an honor to meet you . 
14-1	396-398	It	_	_	_	_
14-2	399-401	is	_	_	_	_
14-3	402-404	an	_	_	_	_
14-4	405-410	honor	_	_	_	_
14-5	411-413	to	_	_	_	_
14-6	414-418	meet	_	_	_	_
14-7	419-422	you	_	_	*->8-1	*[8]
14-8	423-424	.	_	_	_	_

#Text=My name is Aiwei . 
15-1	425-427	My	_	_	*->7-2	*[7]
15-2	428-432	name	_	_	*->9-1	*[9]
15-3	433-435	is	_	_	_	_
15-4	436-441	Aiwei	*	PER	*->7-3	*[7]
15-5	442-443	.	_	_	_	_

#Text=" Korra says : " Thanks for having us . 
16-1	444-445	"	_	_	_	_
16-2	446-451	Korra	*	PER	*->5-5	*[5]
16-3	452-456	says	_	_	_	_
16-4	457-458	:	_	_	_	_
16-5	459-460	"	_	_	_	_
16-6	461-467	Thanks	_	_	_	_
16-7	468-471	for	_	_	_	_
16-8	472-478	having	_	_	_	_
16-9	479-481	us	_	_	*->8-2	*[8]
16-10	482-483	.	_	_	_	_

#Text=" Aiwei says : " Is this everyone ? 
17-1	484-485	"	_	_	_	_
17-2	486-491	Aiwei	*	PER	*->7-4	*[7]
17-3	492-496	says	_	_	_	_
17-4	497-498	:	_	_	_	_
17-5	499-500	"	_	_	_	_
17-6	501-503	Is	_	_	_	_
17-7	504-508	this	_	_	*->10-1	*[10]
17-8	509-517	everyone	_	_	_	_
17-9	518-519	?	_	_	_	_

#Text=" Korra says : " Yup . 
18-1	520-521	"	_	_	_	_
18-2	522-527	Korra	*	PER	*->5-6	*[5]
18-3	528-532	says	_	_	_	_
18-4	533-534	:	_	_	_	_
18-5	535-536	"	_	_	_	_
18-6	537-540	Yup	_	_	_	_
18-7	541-542	.	_	_	_	_

#Text=Just us . 
19-1	543-547	Just	_	_	_	_
19-2	548-550	us	_	_	*->10-2	*[10]
19-3	551-552	.	_	_	_	_

#Text=So , can I meet the new airbender ? 
20-1	553-555	So	_	_	_	_
20-2	556-557	,	_	_	_	_
20-3	558-561	can	_	_	_	_
20-4	562-563	I	_	_	*->5-7	*[5]
20-5	564-568	meet	_	_	_	_
20-6	569-572	the	_	_	*->11-1	*[11]
20-7	573-576	new	_	_	*->11-1	*[11]
20-8	577-586	airbender	_	_	*->11-1	*[11]
20-9	587-588	?	_	_	_	_

#Text=" Aiwei says : " Of course , right this way . 
21-1	589-590	"	_	_	_	_
21-2	591-596	Aiwei	*	PER	_	_
21-3	597-601	says	_	_	_	_
21-4	602-603	:	_	_	_	_
21-5	604-605	"	_	_	_	_
21-6	606-608	Of	_	_	_	_
21-7	609-615	course	_	_	_	_
21-8	616-617	,	_	_	_	_
21-9	618-623	right	_	_	_	_
21-10	624-628	this	_	_	*->12-1	*[12]
21-11	629-632	way	_	_	_	_
21-12	633-634	.	_	_	_	_

#Text=" Ikki says : " And this is the Air Acolyte dining hall where everyone eats . 
22-1	635-636	"	_	_	_	_
22-2	637-641	Ikki	*	PER	_	_
22-3	642-646	says	_	_	_	_
22-4	647-648	:	_	_	_	_
22-5	649-650	"	_	_	_	_
22-6	651-654	And	_	_	_	_
