#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bumi says : " What kind of prison does n't have any bars or walls ? 
1-1	0-4	Bumi	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-18	What	_	_	_	_
1-6	19-23	kind	_	_	_	_
1-7	24-26	of	_	_	_	_
1-8	27-33	prison	_	_	_	_
1-9	34-38	does	_	_	_	_
1-10	39-42	n't	_	_	_	_
1-11	43-47	have	_	_	_	_
1-12	48-51	any	_	_	_	_
1-13	52-56	bars	_	_	_	_
1-14	57-59	or	_	_	_	_
1-15	60-65	walls	_	_	_	_
1-16	66-67	?	_	_	_	_

#Text=We can walk right out of here . 
2-1	68-70	We	_	_	_	_
2-2	71-74	can	_	_	_	_
2-3	75-79	walk	_	_	_	_
2-4	80-85	right	_	_	_	_
2-5	86-89	out	_	_	_	_
2-6	90-92	of	_	_	_	_
2-7	93-97	here	_	_	_	_
2-8	98-99	.	_	_	_	_

#Text=" Tenzin says : " The Fog of Lost Souls is a spirit prison for humans . 
3-1	100-101	"	_	_	_	_
3-2	102-108	Tenzin	*	PER	_	_
3-3	109-113	says	_	_	_	_
3-4	114-115	:	_	_	_	_
3-5	116-117	"	_	_	_	_
3-6	118-121	The	_	_	*->3-1	*[3]
3-7	122-125	Fog	_	_	*->3-1	*[3]
3-8	126-128	of	_	_	*->3-1	*[3]
3-9	129-133	Lost	_	_	*->3-1	*[3]
3-10	134-139	Souls	_	_	*->3-1	*[3]
3-11	140-142	is	_	_	_	_
3-12	143-144	a	_	_	*->3-2	*[3]
3-13	145-151	spirit	_	_	*->3-2	*[3]
3-14	152-158	prison	_	_	*->3-2	*[3]
3-15	159-162	for	_	_	*->3-2	*[3]
3-16	163-169	humans	_	_	*->3-2	*[3]
3-17	170-171	.	_	_	_	_

#Text=I read about that in ancient text . 
4-1	172-173	I	_	_	_	_
4-2	174-178	read	_	_	_	_
4-3	179-184	about	_	_	_	_
4-4	185-189	that	_	_	*->5-1	*[5]
4-5	190-192	in	_	_	*->5-1	*[5]
4-6	193-200	ancient	_	_	*->5-1	*[5]
