#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Toph says : " See any Dai Li agents nearby ? " 
1-1	0-4	Toph	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-17	See	_	_	_	_
1-6	18-21	any	_	_	_	_
1-7	22-25	Dai	*	PER	_	_
1-8	26-28	Li	*	PER	_	_
1-9	29-35	agents	_	_	_	_
1-10	36-42	nearby	_	_	_	_
1-11	43-44	?	_	_	_	_
1-12	45-46	"	_	_	_	_

#Text=Sokka says : " Nope , all clear . " 
2-1	47-52	Sokka	_	_	*->2-1	*[2]
2-2	53-57	says	_	_	_	_
2-3	58-59	:	_	_	_	_
2-4	60-61	"	_	_	_	_
2-5	62-66	Nope	_	_	_	_
2-6	67-68	,	_	_	_	_
2-7	69-72	all	_	_	_	_
2-8	73-78	clear	_	_	_	_
2-9	79-80	.	_	_	_	_
2-10	81-82	"	_	_	_	_

#Text=Sokka says : " Let 's go . " 
3-1	83-88	Sokka	_	_	*->2-2	*[2]
3-2	89-93	says	_	_	_	_
3-3	94-95	:	_	_	_	_
3-4	96-97	"	_	_	_	_
3-5	98-101	Let	_	_	_	_
3-6	102-104	's	_	_	*->1-2	*[1]
3-7	105-107	go	_	_	_	_
3-8	108-109	.	_	_	_	_
3-9	110-111	"	_	_	_	_

#Text=Kuei says : " I 'm not leaving without Bosco ! " 
4-1	112-116	Kuei	*	PER	*->3-1	*[3]
4-2	117-121	says	_	_	_	_
4-3	122-123	:	_	_	_	_
4-4	124-125	"	_	_	_	_
4-5	126-127	I	_	_	*->3-2	*[3]
4-6	128-130	'm	_	_	_	_
4-7	131-134	not	_	_	_	_
4-8	135-142	leaving	_	_	_	_
4-9	143-150	without	_	_	_	_
4-10	151-156	Bosco	*	PER	_	_
4-11	157-158	!	_	_	_	_
4-12	159-160	"	_	_	_	_
