#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " Tell me who sent you ! " 
1-1	0-5	Bolin	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-19	Tell	_	_	_	_
1-6	20-22	me	_	_	*->1-2	*[1]
1-7	23-26	who	_	_	_	_
1-8	27-31	sent	_	_	_	_
1-9	32-35	you	_	_	*->2-1	*[2]
1-10	36-37	!	_	_	_	_
1-11	38-39	"	_	_	_	_

#Text=Soldier says : " It was Varrick , please do n't hurt me , Nuktuk ! " 
2-1	40-47	Soldier	*	PER	_	_
2-2	48-52	says	_	_	_	_
2-3	53-54	:	_	_	_	_
2-4	55-56	"	_	_	_	_
2-5	57-59	It	_	_	_	_
2-6	60-63	was	_	_	_	_
2-7	64-71	Varrick	*	PER	*->3-1	*[3]
2-8	72-73	,	_	_	_	_
2-9	74-80	please	_	_	_	_
2-10	81-83	do	_	_	_	_
2-11	84-87	n't	_	_	_	_
2-12	88-92	hurt	_	_	_	_
2-13	93-95	me	_	_	*->1-3	*[1]
2-14	96-97	,	_	_	_	_
2-15	98-104	Nuktuk	_	_	_	_
2-16	105-106	!	_	_	_	_
2-17	107-108	"	_	_	_	_

#Text=Varrick says : " I think this is our cue to exit . " 
3-1	109-116	Varrick	*	PER	*->3-2	*[3]
3-2	117-121	says	_	_	_	_
3-3	122-123	:	_	_	_	_
3-4	124-125	"	_	_	_	_
3-5	126-127	I	_	_	*->3-3	*[3]
3-6	128-133	think	_	_	_	_
3-7	134-138	this	_	_	*->4-2	*[4]
3-8	139-141	is	_	_	_	_
3-9	142-145	our	_	_	*->2-2	*[2]
3-10	146-149	cue	_	_	*->4-1	*[4]
3-11	150-152	to	_	_	*->4-1	*[4]
3-12	153-157	exit	_	_	*->4-1	*[4]
3-13	158-159	.	_	_	_	_
3-14	160-161	"	_	_	_	_

#Text=Lin Beifong says : " Where do you think you 're going ? " 
4-1	162-165	Lin	*	PER	_	_
4-2	166-173	Beifong	*	PER	_	_
4-3	174-178	says	_	_	_	_
4-4	179-180	:	_	_	_	_
4-5	181-182	"	_	_	_	_
4-6	183-188	Where	_	_	_	_
4-7	189-191	do	_	_	_	_
4-8	192-195	you	_	_	*->3-4	*[3]
4-9	196-201	think	_	_	_	_
4-10	202-205	you	_	_	*->3-5	*[3]
4-11	206-209	're	_	_	_	_
4-12	210-215	going	_	_	_	_
4-13	216-217	?	_	_	_	_
4-14	218-219	"	_	_	_	_

#Text=Shiro Shinobi says : " It 's a knockout ! " 
5-1	220-225	Shiro	*	PER	_	_
5-2	226-233	Shinobi	*	PER	_	_
5-3	234-238	says	_	_	_	_
5-4	239-240	:	_	_	_	_
5-5	241-242	"	_	_	_	_
5-6	243-245	It	_	_	*->4-3	*[4]
5-7	246-248	's	_	_	_	_
5-8	249-250	a	_	_	*->4-4	*[4]
5-9	251-259	knockout	_	_	*->4-4	*[4]
5-10	260-261	!	_	_	_	_
5-11	262-263	"	_	_	_	_
