#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " Turns out , clouds are made of water . " 
1-1	0-4	Aang	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-19	Turns	_	_	_	_
1-6	20-23	out	_	_	_	_
1-7	24-25	,	_	_	_	_
1-8	26-32	clouds	_	_	_	_
1-9	33-36	are	_	_	_	_
1-10	37-41	made	_	_	_	_
1-11	42-44	of	_	_	_	_
1-12	45-50	water	_	_	_	_
1-13	51-52	.	_	_	_	_
1-14	53-54	"	_	_	_	_

#Text=Katara says : " Hey , what is that ? " 
2-1	55-61	Katara	*	PER	_	_
2-2	62-66	says	_	_	_	_
2-3	67-68	:	_	_	_	_
2-4	69-70	"	_	_	_	_
2-5	71-74	Hey	_	_	_	_
2-6	75-76	,	_	_	_	_
2-7	77-81	what	_	_	_	_
2-8	82-84	is	_	_	_	_
2-9	85-89	that	_	_	*->1-2	*[1]
2-10	90-91	?	_	_	_	_
2-11	92-93	"	_	_	_	_

#Text=Sokka says : " It 's like a scar ... " 
3-1	94-99	Sokka	_	_	_	_
3-2	100-104	says	_	_	_	_
3-3	105-106	:	_	_	_	_
3-4	107-108	"	_	_	_	_
3-5	109-111	It	_	_	_	_
3-6	112-114	's	_	_	_	_
3-7	115-119	like	_	_	_	_
3-8	120-121	a	_	_	_	_
3-9	122-126	scar	_	_	_	_
3-10	127-130	...	_	_	_	_
3-11	131-132	"	_	_	_	_
