#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Korra says : " Excuse me , I think I 'm lost . 
1-1	0-5	Korra	*	PER	*->1-1	*[1]
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-21	Excuse	_	_	_	_
1-6	22-24	me	_	_	*->1-2	*[1]
1-7	25-26	,	_	_	_	_
1-8	27-28	I	_	_	*->1-3	*[1]
1-9	29-34	think	_	_	_	_
1-10	35-36	I	_	_	*->1-4	*[1]
1-11	37-39	'm	_	_	_	_
1-12	40-44	lost	_	_	_	_
1-13	45-46	.	_	_	_	_

#Text=How do I get to Air Temple Island from here ? 
2-1	47-50	How	_	_	_	_
2-2	51-53	do	_	_	_	_
2-3	54-55	I	_	_	*->1-5	*[1]
2-4	56-59	get	_	_	_	_
2-5	60-62	to	_	_	_	_
2-6	63-66	Air	_	_	_	_
2-7	67-73	Temple	_	_	_	_
2-8	74-80	Island	_	_	_	_
2-9	81-85	from	_	_	_	_
2-10	86-90	here	_	_	_	_
2-11	91-92	?	_	_	_	_

#Text=" Old woman says : " Just head down this street . 
3-1	93-94	"	_	_	_	_
3-2	95-98	Old	_	_	_	_
3-3	99-104	woman	_	_	_	_
3-4	105-109	says	_	_	_	_
3-5	110-111	:	_	_	_	_
3-6	112-113	"	_	_	_	_
3-7	114-118	Just	_	_	_	_
3-8	119-123	head	_	_	_	_
3-9	124-128	down	_	_	_	_
3-10	129-133	this	_	_	_	_
3-11	134-140	street	_	_	_	_
3-12	141-142	.	_	_	_	_

#Text=" 
4-1	143-144	"	_	_	_	_
