#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Bolin says : " The bad news is we 're stuck here . 
1-1	0-5	Bolin	*	PER	_	_
1-2	6-10	says	_	_	_	_
1-3	11-12	:	_	_	_	_
1-4	13-14	"	_	_	_	_
1-5	15-18	The	_	_	_	_
1-6	19-22	bad	_	_	_	_
1-7	23-27	news	_	_	_	_
1-8	28-30	is	_	_	_	_
1-9	31-33	we	_	_	*->1-1	*[1]
1-10	34-37	're	_	_	_	_
1-11	38-43	stuck	_	_	_	_
1-12	44-48	here	_	_	_	_
1-13	49-50	.	_	_	_	_

#Text=The good news is we can go the bathroom wherever we want . 
2-1	51-54	The	_	_	_	_
2-2	55-59	good	_	_	_	_
2-3	60-64	news	_	_	_	_
2-4	65-67	is	_	_	_	_
2-5	68-70	we	_	_	*->1-2	*[1]
2-6	71-74	can	_	_	_	_
2-7	75-77	go	_	_	_	_
2-8	78-81	the	_	_	_	_
2-9	82-90	bathroom	_	_	_	_
2-10	91-99	wherever	_	_	_	_
2-11	100-102	we	_	_	*->1-3	*[1]
2-12	103-107	want	_	_	_	_
2-13	108-109	.	_	_	_	_

#Text=" 
3-1	110-111	"	_	_	_	_
