#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_CH=de.tudarmstadt.ukp.dkpro.core.api.coref.type.CoreferenceLink|referenceRelation|referenceType


#Text=Aang says : " So , I guess you 've never fought an airbender before . 
1-1	0-4	Aang	*	PER	*->1-1	*[1]
1-2	5-9	says	_	_	_	_
1-3	10-11	:	_	_	_	_
1-4	12-13	"	_	_	_	_
1-5	14-16	So	_	_	_	_
1-6	17-18	,	_	_	_	_
1-7	19-20	I	_	_	*->1-2	*[1]
1-8	21-26	guess	_	_	_	_
1-9	27-30	you	_	_	*->2-1	*[2]
1-10	31-34	've	_	_	_	_
1-11	35-40	never	_	_	_	_
1-12	41-47	fought	_	_	_	_
1-13	48-50	an	_	_	_	_
1-14	51-60	airbender	_	_	_	_
1-15	61-67	before	_	_	_	_
1-16	68-69	.	_	_	_	_

#Text=I bet I could take you both with my hands tied behind my back . 
2-1	70-71	I	_	_	*->1-3	*[1]
2-2	72-75	bet	_	_	_	_
2-3	76-77	I	_	_	*->1-4	*[1]
2-4	78-83	could	_	_	_	_
2-5	84-88	take	_	_	_	_
2-6	89-92	you	_	_	*->2-2	*[2]
2-7	93-97	both	_	_	_	_
2-8	98-102	with	_	_	_	_
2-9	103-105	my	_	_	*->1-5	*[1]
2-10	106-111	hands	_	_	_	_
2-11	112-116	tied	_	_	_	_
2-12	117-123	behind	_	_	_	_
2-13	124-126	my	_	_	*->1-6	*[1]
2-14	127-131	back	_	_	_	_
2-15	132-133	.	_	_	_	_

#Text=" Firebender says : " Silence . 
3-1	134-135	"	_	_	*->3-1	*[3]
3-2	136-146	Firebender	_	_	*->3-1	*[3]
3-3	147-151	says	_	_	_	_
3-4	152-153	:	_	_	_	_
3-5	154-155	"	_	_	_	_
3-6	156-163	Silence	_	_	_	_
3-7	164-165	.	_	_	_	_

#Text=" Firebender says : " The Avatar has escaped ! 
4-1	166-167	"	_	_	_	_
4-2	168-178	Firebender	_	_	*->3-2	*[3]
4-3	179-183	says	_	_	_	_
4-4	184-185	:	_	_	_	_
4-5	186-187	"	_	_	_	_
4-6	188-191	The	_	_	_	_
4-7	192-198	Avatar	_	_	_	_
4-8	199-202	has	_	_	_	_
4-9	203-210	escaped	_	_	_	_
4-10	211-212	!	_	_	_	_

#Text=" 
5-1	213-214	"	_	_	_	_
